연번,자치구,ID,정류소명,주소,행정동명,위도,경도
1349,북구,4499,임동행정복지센터(임동한국아델리움1차),광주광역시 북구 임동 173,북구 임동 ,35.1646677131972,126.895834065751
1350,북구,4500,임동오거리(전남방직),광주광역시 북구 임동 94-207,북구 임동 ,35.1598925657578,126.897396289688
1351,북구,4501,임동오거리(북성중),광주광역시 북구 임동 94-207,북구 임동 ,35.1598925657578,126.897396289688
1352,북구,4503,임동한국아델리움2차(보훈회관),광주광역시 북구 임동 226-9,북구 임동 ,35.160431858191,126.894055791958
1353,북구,4504,임동한국아델리움2차(현대자동차),광주광역시 북구 임동 226-9,북구 임동 ,35.160431858191,126.894055791958
1354,북구,4505,임동한국아델리움1차(임동주민센터),광주광역시 북구 임동 100-43,북구 임동 ,35.1666848044071,126.891757520721
1355,북구,4506,임동한국아델리움1차(무등경기장(남)),광주광역시 북구 임동 149-7,북구 임동 ,35.1668368600244,126.892259171285
1356,북구,4507,전남방직(현대자동차),광주광역시 북구 임동 95-3,북구 임동 ,35.1600838571038,126.896153706059
1357,북구,4508,전남방직(임동오거리),광주광역시 북구 임동 226-9,북구 임동 ,35.160431858191,126.894055791958
1358,북구,4509,제2광천교(경신여고),광주광역시 북구 운암동 426,북구 운암동,35.1709251581598,126.882199879751
1359,북구,4510,양동시장교차로(광주일고),광주광역시 북구 유동 50-13,북구 유동 ,35.1561242222628,126.903729652747
1360,북구,4511,양동시장교차로(양동시장역(북)),광주광역시 북구 유동 50-13,북구 유동 ,35.1561242222628,126.903729652747
1361,북구,4512,광주일고.광주고용센터(북성중),광주광역시 북구 북동 161,북구 북동 ,35.1552644071594,126.907775095476
1362,북구,4513,광주일고.광주고용센터(금남로5가역),광주광역시 북구 누문동 317,북구 누문동,35.1550651109131,126.907886278257
1363,북구,4514,광주학생운동기념탑(우진아파트),광주광역시 북구 누문동 144,북구 누문동,35.1533555300793,126.907215338134
1364,북구,4515,대인광장(동)(롯데백화점(북)),광주광역시 북구 북동 6,북구 북동 ,35.156850977909,126.912013283615
1365,북구,4516,대인광장(북)(중흥시장),광주광역시 북구 북동 6,북구 북동 ,35.156850977909,126.912013283615
1366,북구,4517,대인광장(북)(롯데백화점(북)),광주광역시 북구 북동 5-7,북구 북동 ,35.1569164889324,126.911740915613
1367,북구,4518,대인광장(서)(동부소방서),광주광역시 북구 북동 33,북구 북동 ,35.1556735095769,126.911241681724
1368,북구,4519,대인광장(서)(수창초교후문),광주광역시 북구 북동 24-1,북구 북동 ,35.1561662354198,126.911176722084
1369,북구,4520,롯데백화점(광주학생운동기념탑),광주광역시 북구 북동 250,북구 북동 ,35.1543471361893,126.910476520891
1370,북구,4521,북성중(임동오거리),광주광역시 북구 유동 22-3,북구 유동 ,35.1577087202318,126.903840393841
1371,북구,4522,수창초교후문(대인광장(서)),광주광역시 북구 북동 92-13,북구 북동 ,35.1567372501761,126.908635651816
1372,북구,4523,수창초교후문(유동사거리),광주광역시 북구 북동 91-34,북구 북동 ,35.1568695137834,126.908920422841
1373,북구,4524,양동복개쇼핑센터(천교),광주광역시 북구 누문동 324,북구 누문동,35.1532927830535,126.904989495619
1374,북구,4525,양동복개쇼핑센터(양동시장역(북)),광주광역시 북구 누문동 324,북구 누문동,35.1532927830535,126.904989495619
1375,북구,4526,요한병원(임동농협),광주광역시 북구 유동 87-4,북구 유동 ,,
